Fila PDF,ID,Nombre español,Nombre original,Alternativos originales,Punto personal,Significador,Disparador,Fórmula diurna propuesta,Fórmula nocturna propuesta,Reverse Nocturnal literal,Fuente primaria,Fuentes secundarias,Categorías originales,Dub.,Mult.,Variantes manuscritas,Estado,Advertencias
11,lusby-traditional-0011,Animales,Animals,,Asc,12th,Ruler 12th,normalizar360(Asc + 12th − Ruler 12th),normalizar360(Asc + 12th − Ruler 12th),,JZ,,Medieval,,,,pending_review,
12,lusby-traditional-0012,Albaricoques,Apricots,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,B,,"Medieval, Commodity",,,,pending_review,
13,lusby-traditional-0013,Asociación 1,Association 1,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
14,lusby-traditional-0014,Asociación 2,Association 2,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O2,,Hellenistic,,,,pending_review,
15,lusby-traditional-0015,Asociación 3,Association 3,,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Mercury − Jupiter),reverse,O2,,Hellenistic,,,,pending_review,
16,lusby-traditional-0016,Autoridad,Authority,,Asc,Sun,Mars,normalizar360(Asc + Sun − Mars),normalizar360(Asc + Mars − Sun),reverse,O1,MSP,Hellenistic,,,,pending_review,
17,lusby-traditional-0017,Autoridad y trabajo,Authority & Work,,Asc,Moon,Saturn,normalizar360(Asc + Moon − Saturn),normalizar360(Asc + Saturn − Moon),reverse,SB,"GI, Q, R",Medieval,,,,pending_review,
18,lusby-traditional-0018,"Autoridad, auxilio y conquista","Authority, Aid & Conquering",,Asc,Saturn,Sun,normalizar360(Asc + Saturn − Sun),normalizar360(Asc + Sun − Saturn),reverse,SB,"GI, RD, Q, R","Medieval, Mundane",,,,pending_review,
19,lusby-traditional-0019,"Autoridad, auxilio y conquista (variante)","Authority, Aid & Conquering (Alt)",,Asc,Jupiter,Sun,normalizar360(Asc + Jupiter − Sun),normalizar360(Asc + Sun − Jupiter),reverse,GI,R,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
20,lusby-traditional-0020,Cebada,Barley,,Asc,Jupiter,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
21,lusby-traditional-0021,Base (Firmicus),Basis (Firmicus),,Asc,Fortune,Spirit,normalizar360(Asc + Fortune − Spirit),normalizar360(Asc + Spirit − Fortune),reverse,FM,,Hellenistic,,,,pending_review,
22,lusby-traditional-0022,Base (Valens),Basis (Valens),"Foundation, Firmness, Survival, Support of Ascendant",Asc,Spirit,Fortune,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (MSL, MSP, MSV, GI, Q, R), always below horizon (VV)",VV,"O1, MSL, MSP, MSV, GI, Q, R","Hellenistic, Medieval",,,"1L, 1B",conditional,"El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (MSL, MSP, MSV, GI, Q, R), always below horizon (VV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
23,lusby-traditional-0023,Base 2,Basis 2,Foundation,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,O1,,Hellenistic,,,"1A, 1B",pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
24,lusby-traditional-0024,Batalla,Battle,,Sun,Moon,Mars,normalizar360(Sun + Moon − Mars),normalizar360(Sun + Moon − Mars),,RD,R,"Medieval, Mundane",,,,pending_review,
25,lusby-traditional-0025,Habas,Beans,Egyptian Beans,Asc,Mars,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
26,lusby-traditional-0026,Estancia en tierra extranjera,Being in a Foreign Land,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Mars − Saturn),,VV,,Hellenistic,,,,pending_review,
27,lusby-traditional-0027,Ser conocido y respetado entre la gente,Being Known Among People & Respected,,Asc,Sun,Fortune,normalizar360(Asc + Sun − Fortune),normalizar360(Asc + Fortune − Sun),reverse,GI,,Medieval,,,,pending_review,
28,lusby-traditional-0028,Nacimiento/embarazo,Birth/Pregnancy,,Asc,Ruler 5th,5th,normalizar360(Asc + Ruler 5th − 5th),normalizar360(Asc + Ruler 5th − 5th),,UT,B,"Medieval, Horary",,,,pending_review,
29,lusby-traditional-0029,Alimentos amargos,Bitter Foods,,Asc,Saturn,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
30,lusby-traditional-0030,Purgantes amargos (al-Bīrūnī),Bitter Purgatives (al-Bīrūnī),,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,B,,"Medieval, Commodity",Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
31,lusby-traditional-0031,Joven amante de un hombre,Boy-Lover of a Man,,Asc,Jupiter,Venus,normalizar360(Asc + Jupiter − Venus),normalizar360(Asc + Venus − Jupiter),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
32,lusby-traditional-0032,Sepultura,Burial,,Asc,Saturn,Moon,normalizar360(Asc + Saturn − Moon),normalizar360(Asc + Moon − Saturn),reverse,O2,,Hellenistic,,,,pending_review,
33,lusby-traditional-0033,Negocios A,Business A,,Asc,Mars,Jupiter,normalizar360(Asc + Mars − Jupiter),normalizar360(Asc + Jupiter − Mars),reverse,O1,,Hellenistic,Sí,,1A,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
34,lusby-traditional-0034,Negocios B,Business B,,Asc,Saturn,Jupiter,normalizar360(Asc + Saturn − Jupiter),normalizar360(Asc + Jupiter − Saturn),reverse,O1,"MSP, MSV",Hellenistic,,Sí,1B,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
35,lusby-traditional-0035,"Negocios, compra y venta","Business, Buying & Selling",,Asc,Fortune,Spirit,normalizar360(Asc + Fortune − Spirit),normalizar360(Asc + Spirit − Fortune),reverse,GI,,Medieval,,,,pending_review,
36,lusby-traditional-0036,Mantequilla,Butter,,Asc,Venus,Sun,normalizar360(Asc + Venus − Sun),normalizar360(Asc + Venus − Sun),,BW,,"Medieval, Commodity",,,,pending_review,
37,lusby-traditional-0037,Garbanzos,Chick-peas,Peas,Asc,Sun,Venus,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
38,lusby-traditional-0038,Hijos,Children,,Asc,Saturn,Jupiter,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (GI, Q, R)",DS,"PA, O2, MSL, MSP, MSV, BA, TE, SB, GI, Q, R","Hellenistic, Medieval",,,,conditional,"Regla nocturna especial: reverse (GI, Q, R). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
39,lusby-traditional-0039,Hijos (Firmicus),Children (Firmicus),,Asc,Venus,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,always below horizon,FM,,Hellenistic,,,,conditional,Regla nocturna especial: always below horizon. Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
40,lusby-traditional-0040,Hijos (Firmicus; variante),Children (Firmicus)(Alt),,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Jupiter − Mercury),reverse,FM,,Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
41,lusby-traditional-0041,Hijos (Sahl/Hermes),Children (Sahl/Hermes),,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Saturn − Mercury),,SB,,Medieval,,,,pending_review,
42,lusby-traditional-0042,Cargo civil,Civil Office,,Asc,Mercury,Jupiter,normalizar360(Asc + Mercury − Jupiter),normalizar360(Asc + Mercury − Jupiter),,LJ,,Medieval,,,,pending_review,
43,lusby-traditional-0043,Nubes,Clouds,,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,B,,"Medieval, Weather",,,,pending_review,
44,lusby-traditional-0044,Frío,Cold,,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Mercury − Saturn),reverse,B,,"Medieval, Weather",,,,pending_review,
45,lusby-traditional-0045,Compulsión,Compulsion,Necessity,Asc,Mercury,Spirit,normalizar360(Asc + Mercury − Spirit),normalizar360(Asc + Mercury − Spirit),,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
46,lusby-traditional-0046,Conquista,Conquest,,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Mars − Sun),,B,R,"Medieval, Mundane",,,,pending_review,
47,lusby-traditional-0047,Disputas y contendientes,Contentions and Contenders,,Asc,Jupiter,Mars,normalizar360(Asc + Jupiter − Mars),normalizar360(Asc + Mars − Jupiter),reverse,GI,,Medieval,,,,pending_review,
48,lusby-traditional-0048,Contrato 1,Contract 1,Property Disposition,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Mercury − Jupiter),reverse,O2,"O1, MSR, MSP",Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
49,lusby-traditional-0049,Contrato 2,Contract 2,Property Disposition,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,O2,,Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
50,lusby-traditional-0050,Algodón,Cotton,,Asc,Venus,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
51,lusby-traditional-0051,Coraje,Courage,Audacity,Asc,Fortune,Mars,normalizar360(Asc + Fortune − Mars),normalizar360(Asc + Mars − Fortune),reverse,PA,"O2, MSL, MSP, MSV, GI, Q, R","Hellenistic, Medieval, Hermetic",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
52,lusby-traditional-0052,"Coraje, violencia y combate","Courage, Violence & Combat",,Asc,Moon,Ruler Asc,normalizar360(Asc + Moon − Ruler Asc),normalizar360(Asc + Ruler Asc − Moon),reverse,GI,,Medieval,,,,pending_review,
53,lusby-traditional-0053,Oficio artesanal,Craft,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Mars − Moon),reverse,O1,"MSL, MSP, MSV",Hellenistic,,,,pending_review,
54,lusby-traditional-0054,Año crítico,Critical Year,,Asc,Ruler Syzygy,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,VV,"GI, Q, R","Hellenistic, Medieval",,,,unsupported_operand,Ruler Syzygy: Falta resolver la sizigia y confirmar el criterio de regencia de la fuente.
55,lusby-traditional-0055,"Astucia, engaño y estratagemas","Cunning, Deception & Strategems",,Asc,Spirit,Mercury,normalizar360(Asc + Spirit − Mercury),normalizar360(Asc + Mercury − Spirit),reverse,GI,,Medieval,,,,pending_review,
56,lusby-traditional-0056,Lluvias diarias,Daily Rains,,Moon,Saturn,Sun,normalizar360(Moon + Saturn − Sun),normalizar360(Moon + Saturn − Sun),,K,"RD, B, R, BW","Medieval, Weather",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
57,lusby-traditional-0057,Daño,Damage,Penalty,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,MSL,,Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
58,lusby-traditional-0058,Dátiles,Dates,,Asc,Venus,Sun,normalizar360(Asc + Venus − Sun),normalizar360(Asc + Venus − Sun),,Q,GB,"Medieval, Commodity",,,,pending_review,
59,lusby-traditional-0059,Muerte,Death,,Saturn,8th,Moon,normalizar360(Saturn + 8th − Moon),normalizar360(Saturn + 8th − Moon),,DS,"HT, O2, MSL, MSP, MSV, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,Códigos sin entrada inequívoca en Sources: HT. No se expandieron por suposición.
60,lusby-traditional-0060,Muerte (al-Ṭabarī 1),Death (al-Ṭabarī 1),,8th,Ruler Asc,Ruler 8th,normalizar360(8th + Ruler Asc − Ruler 8th),normalizar360(8th + Ruler Asc − Ruler 8th),,UT,,"Medieval, Horary",,,,pending_review,
61,lusby-traditional-0061,Muerte (al-Ṭabarī 2),Death (al-Ṭabarī 2),,Asc,Ruler 8th,8th,normalizar360(Asc + Ruler 8th − 8th),normalizar360(Asc + Ruler 8th − 8th),,UT,,"Medieval, Horary",,,,pending_review,
62,lusby-traditional-0062,Muerte (Laurentianus),Death (Laurentianus),,Asc,Saturn,Moon,normalizar360(Asc + Saturn − Moon),normalizar360(Asc + Moon − Saturn),reverse,MSL,,Hellenistic,,,,pending_review,
63,lusby-traditional-0063,Muerte (Olympiodorus),Death (Olympiodorus),,Asc,Moon,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (O1, MSP, MSV)",O1,"MSL, MSP, MSV",Hellenistic,,,,conditional,"Regla nocturna especial: reverse (O1, MSP, MSV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
64,lusby-traditional-0064,Muerte (persa),Death (Persian),,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,GI,,Medieval,,,,pending_review,
65,lusby-traditional-0065,Muerte (Rhetorius),Death (Rhetorius),,Asc,8th,Moon,normalizar360(Asc + 8th − Moon),normalizar360(Asc + 8th − Moon),,RE,"TE, BA","Hellenistic, Medieval",,,,pending_review,
66,lusby-traditional-0066,Muerte de los hermanos,Death of Brothers,,Asc,MC,Sun,normalizar360(Asc + MC − Sun),normalizar360(Asc + Sun − MC),reverse,GI,,Medieval,,,,pending_review,
67,lusby-traditional-0067,Muerte del padre,Death of the Father,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,GI,Q,Medieval,,,,pending_review,
68,lusby-traditional-0068,Deuda,Debt,Loaning,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Mercury − Saturn),,VV,"GI, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
69,lusby-traditional-0069,Deudor,Debtor,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,O2,,Hellenistic,,,,pending_review,
70,lusby-traditional-0070,Engaño,Deceit,Treachery,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Sun − Mars),reverse,VV,"MSP, MSV",Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
71,lusby-traditional-0071,Deseo,Desire,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
72,lusby-traditional-0072,Destructor,Destroyer,,Asc,Moon,Ruler Asc,normalizar360(Asc + Moon − Ruler Asc),normalizar360(Asc + Ruler Asc − Moon),reverse,RE,"O2, MSL, MSP, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,
73,lusby-traditional-0073,Destrucción,Destruction,,Asc,Mercury,Mars,normalizar360(Asc + Mercury − Mars),normalizar360(Asc + Mars − Mercury),reverse,O2,,Hellenistic,,,,pending_review,
74,lusby-traditional-0074,Dignidad,Dignity,Honors,Asc,Sun,Jupiter,normalizar360(Asc + Sun − Jupiter),normalizar360(Asc + Jupiter − Sun),reverse,FM,"O1, MSP, MSV",Hellenistic,,Sí,"1A, 1B",multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales. | El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
75,lusby-traditional-0075,Dignidad B,Dignity B,,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Sun − Mars),reverse,O1,,Hellenistic,Sí,,"1B, 1L",dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
76,lusby-traditional-0076,Discordia,Discord,,Asc,Dsc,Mars,normalizar360(Asc + Dsc − Mars),normalizar360(Asc + Dsc − Mars),,JZ,,Medieval,,,,pending_review,
77,lusby-traditional-0077,Destitución o renuncia,Dismissal or Resignation,Time of Loss of Dignity,Saturn,Jupiter,Sun,normalizar360(Saturn + Jupiter − Sun),normalizar360(Saturn + Jupiter − Sun),,B,R,"Medieval, Horary",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
78,lusby-traditional-0078,Sueños A,Dreams A,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,MSL,,Hellenistic,,,,pending_review,
79,lusby-traditional-0079,Sueños B,Dreams B,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,MSP,MSV,Hellenistic,,,,pending_review,
80,lusby-traditional-0080,Vivienda,Dwelling,,Asc,Moon,Saturn,normalizar360(Asc + Moon − Saturn),normalizar360(Asc + Saturn − Moon),reverse,O2,,Hellenistic,,,,pending_review,
81,lusby-traditional-0081,Tierra,Earth,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Jupiter − Saturn),,B,,"Medieval, Weather",,,,pending_review,
82,lusby-traditional-0082,Enemigos (antiguos/Olympiodorus A),Enemies (Ancients/Olympiodorus A),,Asc,Mars,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (O1, O2, MSL, MSP, MSV, R)",O1,"O2, MSL, MSP, MSV, GI, Q","Hellenistic, Medieval",,Sí,1A,conditional,"Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales. | Regla nocturna especial: reverse (O1, O2, MSL, MSP, MSV, R). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa. | La celda secundaria imprime “MSV GI” sin coma. Se separan como dos códigos existentes; el texto original permanece conservado."
83,lusby-traditional-0083,Enemigos (Firmicus),Enemies (Firmicus),,Asc,Mercury,Mars,normalizar360(Asc + Mercury − Mars),normalizar360(Asc + Mars − Mercury),reverse,FM,,Hellenistic,,,,pending_review,
84,lusby-traditional-0084,Enemigos (Hermes),Enemies (Hermes),,Asc,12th,Ruler 12th,normalizar360(Asc + 12th − Ruler 12th),normalizar360(Asc + 12th − Ruler 12th),,GI,"Q, R",Medieval,,,,pending_review,
85,lusby-traditional-0085,Enemigos (Laurentianus),Enemies (Laurentianus),,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,MSL,MSR,Hellenistic,,,,pending_review,
86,lusby-traditional-0086,Enemigos (Olympiodorus B),Enemies (Olympiodorus B),,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Sun − Mars),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
87,lusby-traditional-0087,Enemigos (Olympiodorus C),Enemies (Olympiodorus C),,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,O1,,Hellenistic,Sí,,1L,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
88,lusby-traditional-0088,Enredos y dificultades,Entanglement and Hardship,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,GI,,Medieval,,,,pending_review,
89,lusby-traditional-0089,Eros (Firmicus),Eros (Firmicus),,Asc,Fortune,Spirit,normalizar360(Asc + Fortune − Spirit),normalizar360(Asc + Spirit − Fortune),reverse,FM,,Hellenistic,,,,pending_review,
90,lusby-traditional-0090,Eros (hermético),Eros (Hermetic),Love; Erotic Love,Asc,Venus,Spirit,normalizar360(Asc + Venus − Spirit),normalizar360(Asc + Spirit − Venus),reverse,PA,"O2, MSL","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | La categoría Hermetic no figura en esta fila; “Hermetic” aparece en el nombre. No se agregó a las categorías originales.
91,lusby-traditional-0091,Eros (Olympiodorus) A,Eros (Olympiodorus) A,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,O1,,Hellenistic,Sí,,1L,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
92,lusby-traditional-0092,Eros (Olympiodorus) B,Eros (Olympiodorus) B,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
93,lusby-traditional-0093,Eros (Valens),Eros (Valens),"Love; Nobility, Being Loved, Passion for Worldly Things; Harmony",Asc,Spirit,Fortune,normalizar360(Asc + Spirit − Fortune),normalizar360(Asc + Fortune − Spirit),reverse,VV,"DS, FM, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
94,lusby-traditional-0094,Propiedades,Estates,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
95,lusby-traditional-0095,Exaltación (día),Exaltation (Day),,Asc,18 Aries,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,day,VV,"O2, MSL, MSP, MSV, SB, GI, Q","Hellenistic, Medieval",,,,unsupported_operand,18 Aries: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
96,lusby-traditional-0096,Exaltación (noche),Exaltation (Night),,Asc,2 Taurus,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,night,VV,"MSL, MSP, MSV, SB, GI, Q","Hellenistic, Medieval",,,,unsupported_operand,2 Taurus: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
97,lusby-traditional-0097,Agotamiento de los cuerpos,Exhaustion of Bodies,,Asc,Mars,Fortune,normalizar360(Asc + Mars − Fortune),normalizar360(Asc + Fortune − Mars),reverse,GI,,Medieval,,,,pending_review,
